Identifier,Code,Name (Turkish),Name (English),Branch / Sector
TR-COA-504,504,Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi,Adana Alparslan Türkeş Science and Technology University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-505,505,Ankara Sosyal Bilimler Üniversitesi,Social Sciences University of Ankara,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-506,506,Sağlık Bilimleri Üniversitesi,University of Health Sciences,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-507,507,Bandırma Onyedi Eylül Üniversitesi,Bandırma Onyedi Eylül University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-508,508,İskenderun Teknik Üniversitesi,İskenderun Technical University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-509,509,Alanya Alaaddin Keykubat Üniversitesi,Alanya Alaaddin Keykubat University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-511,511,İzmir Bakırçay Üniversitesi,İzmir Bakırçay University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-512,512,İzmir Demokrasi Üniversitesi,İzmir Demokrasi University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-513,513,Yükseköğretim Kalite Kurulu,Higher Education Quality Council,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-514,514,Ankara Müzik ve Güzel Sanatlar Üniversitesi,Ankara Music and Fine Arts University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-515,515,Gaziantep İslam Bilim ve Teknoloji Üniversitesi,Gaziantep Islamic Science and Technology University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-516,516,Konya Teknik Üniversitesi,Konya Technical University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-517,517,Kütahya Sağlık Bilimleri Üniversitesi,Kütahya Health Sciences University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-518,518,Malatya Turgut Özal Üniversitesi,Malatya Turgut Özal University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-519,519,İstanbul Üniversitesi - Cerrahpaşa,Istanbul University - Cerrahpaşa,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-520,520,Ankara Hacı Bayram Veli Üniversitesi,Ankara Hacı Bayram Veli University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-521,521,Sakarya Uygulamalı Bilimler Üniversitesi,Sakarya University of Applied Sciences,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-522,522,Samsun Üniversitesi,Samsun University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-523,523,Sivas Bilim ve Teknoloji Üniversitesi,Sivas Science and Technology University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-524,524,Tarsus Üniversitesi,Tarsus University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-525,525,Trabzon Üniversitesi,Trabzon University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-526,526,Kayseri Üniversitesi,Kayseri University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-527,527,Kahramanmaraş İstiklal Üniversitesi,Kahramanmaraş İstiklal University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-528,528,Eskişehir Teknik Üniversitesi,Eskişehir Technical University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-529,529,Isparta Uygulamalı Bilimler Üniversitesi,Isparta University of Applied Sciences,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-530,530,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Afyonkarahisar Health Sciences University,Yükseköğretim Kurumları (Higher Education Institutions)
