code,name_en,code_tr,Branch / Sector,Identifier
507,Bandırma Onyedi Eylül University,Bandırma Onyedi Eylül Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-507
508,İskenderun Technical University,İskenderun Teknik Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-508
509,Alanya Alaaddin Keykubat University,Alanya Alaaddin Keykubat Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-509
511,İzmir Bakırçay University,İzmir Bakırçay Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-511
512,İzmir Demokrasi University,İzmir Demokrasi Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-512
513,Higher Education Quality Council,Yükseköğretim Kalite Kurulu,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-513
514,Ankara Music and Fine Arts University,Ankara Müzik ve Güzel Sanatlar Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-514
515,Gaziantep Islamic Science and Technology University,Gaziantep İslam Bilim ve Teknoloji Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-515
516,Konya Technical University,Konya Teknik Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-516
517,Kütahya Health Sciences University,Kütahya Sağlık Bilimleri Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-517
518,Malatya Turgut Özal University,Malatya Turgut Özal Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-518
519,Istanbul University - Cerrahpaşa,İstanbul Üniversitesi - Cerrahpaşa,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-519
520,Ankara Hacı Bayram Veli University,Ankara Hacı Bayram Veli Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-520
521,Sakarya University of Applied Sciences,Sakarya Uygulamalı Bilimler Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-521
522,Samsun University,Samsun Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-522
523,Sivas Science and Technology University,Sivas Bilim ve Teknoloji Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-523
524,Tarsus University,Tarsus Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-524
525,Trabzon University,Trabzon Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-525
526,Kayseri University,Kayseri Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-526
527,Kahramanmaraş İstiklal University,Kahramanmaraş İstiklal Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-527
528,Eskişehir Technical University,Eskişehir Teknik Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-528
529,Isparta University of Applied Sciences,Isparta Uygulamalı Bilimler Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-529
530,Afyonkarahisar Health Sciences University,Afyonkarahisar Sağlık Bilimleri Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-530
